QLD,Bayonetta,"STeev, Hobbit, PillowTalk",632,17,Q1
QLD,Bowser,"Jett, Mittens, Luminescent, Grumbley, Slayden, Mint2, Kegstand, Nitzayra, Flamboyanthamster, Bigfatelli",2045,77,Q1
QLD,Bowser Jr.,"Glyph, BattleDolphin, Bigfatelli, Aurion",201,9,Q1
QLD,Captain Falcon,"Iroh, noobar, Vye, Cajeck, conso, VietPham, Thompsinus, Flex, Mason, Johzyn, Jethee, Zeus",1881,88,Q1
QLD,Chrom,"FC, Parralize, G, TRex, Thompsinus, Scrail, Kyle, Ari",2898,116,Q1
QLD,Cloud,"Crossbow, Himbo, DFS, Trunkle?!?, Bmxmann101, Toketchan, Jeff, Juice",203,11,Q1
QLD,Corrin,"Nitzayra, Scrail, Bigdaddi, Cajeck, BemaniAK, Seamus",235,12,Q1
QLD,Daisy,"Luminescent",104,4,Q1
QLD,Dark Pit,"Code_E, Flex, Cajeck",219,14,Q1
QLD,Dark Samus,"DFS, Himbo, Python, Nitzayra, Hak1?, hack1?, Modest",1349,45,Q1
QLD,Diddy Kong,"Delve, Himbo, UMKO, Flutter",457,20,Q1
QLD,Donkey Kong,"Cajeck, Omta, Toketchan, Oreo, Kwaksy, Mastodon, New, Himbo, Unethical, Baby Roy, McJobo, Flutter, Grumbley, noobar, Recon",2109,80,Q1
QLD,Dr. Mario,"Fiasco, conso, Monarch, Sweet",1853,77,Q1
QLD,Duck Hunt Duo,"Taylor",0,1,Q1
QLD,Falco,"conso, Himbo, Glyph, Blurry, Cajeck, Delve, BoingBoing, Spam, VB_blokeboi, Vance, Taylor, Switch",2708,122,Q1
QLD,Fox,"Bigfatelli, LUSH, Zeus, Nick, TheJazzyman, Sweet, Raibok, InfamousL, Fly, tony.comp",3666,127,Q1
QLD,Ganondorf,"JANGLIO!, schooner, Joz., DaddyMD, KARLOS, Kaboose, FC, Brennn, conso, Squeaks, Cajeck, Hammerhead96",663,29,Q1
QLD,Greninja,"Zyphenor, Sifo1, Crimson, JD, OTAKU, Jethee, Slothrocker",334,19,Q1
QLD,Ice Climbers,"Spammage, Patchy, Tac-Tics",243,17,Q1
QLD,Ike,"SoMa, Ari, Recon, Jem, FC, Cancer, Parralize, Cajeck, Negima, Mason, Toketchan, Delve",3061,154,Q1
QLD,Incineroar,"Mecha Duck, Gravydice, Kaboose, BattleDolphin, Red, Negima, Crabs, WhitePages, JaxWan",1858,75,Q1
